unionEventID,v3accountid,campaignTypeID,districtID,districtName,subdivisionid,divisionName,eventname,turnoutcount,datecreated,employerID,memberCount,ADFcount
19413,64787,25,5,New York Metro,46,NY Commercial,"Worksite meeting at ABM Janitorial Services, Inc-1 Broadway-Master RAB created by Sam Resheff on 2024-01-12",0,1/12/2024,886,11,6
19417,56700,25,5,New York Metro,48,NY Schools,Worksite meeting at NYC School Support Services-K211-New York City Sch created by Tyrae Allen on 2024-01-16,0,1/16/2024,2339,5,1
19420,59692,25,5,New York Metro,46,NY Commercial,Worksite meeting at SOLOW BUILDING CO.-9 West 57th Street-Master RAB C created by Rosayri Perez on 2024-01-16,45,1/16/2024,9957,69,31
19423,47374,25,5,New York Metro,46,NY Commercial,"Worksite meeting at PBM, LLC-437 Madison Avenue-Master RAB NYC Contrac created by Arlind Lela on 2024-01-17",15,1/17/2024,4695,25,8
19424,46344,25,5,New York Metro,46,NY Commercial,Worksite meeting at RXR HB Owner LLC-230 Park Avenue-Master RAB Commer created by Arlind Lela on 2024-01-17,23,1/17/2024,5659,41,10
19427,15273,25,5,New York Metro,46,NY Commercial,Worksite meeting at BROADWAY 280 PARK FEE LLC-280 Park Avenue East-Mas created by Arlind Lela on 2024-01-18,31,1/18/2024,2969,48,10
19434,39055,25,5,New York Metro,47,NY Residential,Worksite meeting at THE TOWNSEND HOUSE CORP-176 East 71st Street-Maste created by Vincent Roveccio on 2024-01-18,4,1/18/2024,11053,14,2
19435,52881,25,5,New York Metro,47,NY Residential,Worksite meeting at SUPREME CO 1 LLC-225 East 70th Street-Master RAB R created by Vincent Roveccio on 2024-01-18,1,1/18/2024,10069,1,NULL
19436,33448,25,5,New York Metro,47,NY Residential,Worksite meeting at SUPREME CO 1 LLC-225 East 70th Street-Master RAB A created by Vincent Roveccio on 2024-01-18,1,1/18/2024,10069,7,2
19437,56655,25,5,New York Metro,48,NY Schools,Worksite meeting at NYC School Support Services-K160-New York City Sch created by Evan  Lambert on 2024-01-18,4,1/18/2024,2339,4,2
19438,36977,25,5,New York Metro,47,NY Residential,Worksite meeting at 140 E 56TH ST CONDO-140 East 56th Street-Master RA created by Adem Kajosaj on 2024-01-18,1,1/18/2024,10991,1,1
19439,36978,25,5,New York Metro,47,NY Residential,Worksite meeting at 140 E 56TH ST CONDO-140 East 56th Street-Master RA created by Adem Kajosaj on 2024-01-18,2,1/18/2024,10991,8,2
19440,38170,25,5,New York Metro,47,NY Residential,Worksite meeting at Rudin East 55th Street LLC-136 East 55th Street-Ma created by Adem Kajosaj on 2024-01-18,5,1/18/2024,632,14,5
19441,33156,25,5,New York Metro,47,NY Residential,Worksite meeting at 209 EAST 56TH STREET APARTMENT-209 East 56th Stree created by Adem Kajosaj on 2024-01-18,2,1/18/2024,10723,8,2
19442,56673,25,5,New York Metro,48,NY Schools,Worksite meeting at NYC School Support Services-K180-New York City Sch created by Evan  Lambert on 2024-01-18,3,1/18/2024,2339,7,3
19449,17074,25,5,New York Metro,46,NY Commercial,Worksite meeting at Vornado Realty Trust-640 5th Avenue-Master RAB NYC created by Rosayri Perez on 2024-01-19,8,1/19/2024,8640,11,5
19450,28519,25,5,New York Metro,46,NY Commercial,Worksite meeting at COLLINS BUILDING SERVICES INC (CBS)-620 8th Avenue created by Michael DeFreitas on 2024-01-19,7,1/19/2024,4226,36,14
19453,34628,25,5,New York Metro,47,NY Residential,Worksite meeting at RESIDENTIAL SECTION OF PLAZA CONDOMINIUM-768 5th A created by Adem Kajosaj on 2024-01-22,3,1/22/2024,3425,21,6
19454,38799,25,5,New York Metro,47,NY Residential,Worksite meeting at RESIDENTIAL SECTION OF PLAZA CONDOMINIUM-768 5th A created by Adem Kajosaj on 2024-01-22,1,1/22/2024,3425,3,1
19455,68380,25,5,New York Metro,47,NY Residential,Worksite meeting at 200 Amsterdam Condominium-200 Amsterdam Avenue-200 created by William Laburda on 2024-01-22,4,1/22/2024,2697,16,5
19456,38558,25,5,New York Metro,47,NY Residential,Worksite meeting at 500 PARK TOWER CONDO-500 Park Avenue-Master RAB Re created by Adem Kajosaj on 2024-01-22,1,1/22/2024,6812,1,NULL
19457,45209,25,5,New York Metro,47,NY Residential,Worksite meeting at 500 PARK TOWER CONDO-500 Park Avenue-Master RAB Ap created by Adem Kajosaj on 2024-01-22,4,1/22/2024,6812,14,3
19458,32181,25,5,New York Metro,47,NY Residential,Worksite meeting at EAST 57TH STREET LLC-150 East 57th Street-Master R created by Adem Kajosaj on 2024-01-22,2,1/22/2024,6271,10,5
19459,38633,25,5,New York Metro,47,NY Residential,Worksite meeting at 235 EAST 57TH STREET APARTMENT CORP-235 East 57th  created by Adem Kajosaj on 2024-01-22,1,1/22/2024,5997,8,1
19460,52621,25,5,New York Metro,47,NY Residential,Worksite meeting at 252 CONDOMINIUM-252 East 57th Street-Master RAB Ap created by Adem Kajosaj on 2024-01-22,4,1/22/2024,10051,25,15
19461,20456,25,5,New York Metro,47,NY Residential,Worksite meeting at 225 EAST 57TH STREET OWNERS INC.-225 East 57th Str created by Adem Kajosaj on 2024-01-22,1,1/22/2024,212,12,2
19462,22497,25,5,New York Metro,47,NY Residential,Worksite meeting at PLACE 57 CONDO ASSOCAITES-207 East 57th Street-Mas created by Adem Kajosaj on 2024-01-22,1,1/22/2024,975,1,NULL
19463,22499,25,5,New York Metro,47,NY Residential,Worksite meeting at PLACE 57 CONDO ASSOCAITES-207 East 57th Street-Mas created by Adem Kajosaj on 2024-01-22,2,1/22/2024,975,6,2
19465,28396,25,5,New York Metro,46,NY Commercial,Worksite meeting at COLLINS BUILDING SERVICES INC (CBS)-11 West 53rd S created by Rosayri Perez on 2024-01-22,9,1/22/2024,4226,28,9
19466,68444,25,5,New York Metro,46,NY Commercial,Worksite meeting at GDI Services Inc.-33 Liberty Street-Master RAB NYC created by Heidy Tavarez on 2024-01-23,9,1/23/2024,10990,23,8
